         1         2         3         4         5
12345678901234567890123456789012345678901234567890
Alabama         4,447,100   50750   14DEC1819
Alaska          626,932     570374  03JAN1959
Arizona         5,130,632   113642  14FEB1912
Arkansas        2,673,400   52075   15JUN1836
California      33,871,648  155973  09SEP1850
Colorado        4,301,261   103729  01AUG1876
Connecticut     3,405,565   4845    09JAN1788
Delaware        783,600     1955    07DEC1787
Florida         15,982,378  53997   03MAR1845
Georgia         8,186,453   57918   02JAN1788
Hawaii          1,211,537   6423    21AUG1959
Idaho           1,293,953   82751   03JUL1890
Illinois        12,419,293  55593   03DEC1818
Indiana         6,080,485   35870   11DEC1816
Iowa            2,926,324   55875   28DEC1846
Kansas          2,688,418   81823   29JAN1861
Kentucky        4,041,769   39732   01JUN1792
Louisiana       4,468,976   43566   30APR1812
Maine           1,274,923   30865   15MAR1820
Maryland        5,296,486   9775    28APR1788
Massachusetts   6,349,097   7838    06FEB1788
Michigan        9,938,444   56809   26JAN1837
Minnesota       4,919,479   79617   11MAY1858
Mississippi     2,844,658   46914   10DEC1817
Missouri        5,595,211   68898   10AUG1821
Montana         902,195     145556  08NOV1889
Nebraska        1,711,263   75898   01MAR1867
Nevada          1,998,257   109806  31OCT1864
New Hampshire   1,235,786   8969    21JUN1788
New Jersey      8,414,350   7418    18DEC1787
New Mexico      1,819,046   121365  06JAN1912
New York        18,976,457  47223   26JUL1788
North Carolina  8,049,313   48718   21NOV1789
North Dakota    642,200     68994   02NOV1889
Ohio            11,353,140  40953   01MAR1803
Oklahoma        3,450,654   68679   16NOV1907
Oregon          3,421,399   96003   14FEB1859
Pennsylvania    12,281,054  44820   12DEC1787
Rhode Island    1,048,319   1045    29MAY1790
South Carolina  4,012,012   30111   23MAY1788
South Dakota    754,844     77122   02NOV1889
Tennessee       5,689,283   41220   01JUN1796
Texas           20,851,820  261914  29DEC1845
Utah            2,233,169   82168   04JAN1896
Vermont         608,827     9249    04MAR1791
Virginia        7,078,515   39598   25JUN1788
Washington      5,894,121   66582   11NOV1889
West Virginia   1,808,344   24087   20JUN1863
Wisconsin       5,363,675   54314   29MAY1848
Wyoming         493,782     97105   10JUL1890
